word,phonetic,pos,meaning,example,exampleCn,category,level,list
ego,'egәu. 'i:gәu,n.,n. 自我\n[医] 自我,"Students often meet the word ""ego"" in reading and daily communication.",这个例句帮助理解“ego”在进阶阅读和写作中的用法。,cet6,,
sofa,'sәufә,n.,n. 沙发,"Students often meet the word ""sofa"" in reading and daily communication.",这个例句帮助理解“sofa”在进阶阅读和写作中的用法。,cet6,,
reproduction,.ri:prә'dʌkʃәn,n.,"n. 再现, 复制, 生殖, 繁殖, 复制品\n[医] 生殖, 复现(心理)",Gutenberg's reproduction of holy texts was far more efficient.,这个例句帮助理解“reproduction”在进阶阅读和写作中的用法。,cet6,,
ironically,,adv.,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地","Ironically, he ended up losing money under his own plan.",这个例句帮助理解“ironically”在进阶阅读和写作中的用法。,cet6,,
blond,blɒnd,n.,a. 金发的\nn. 白肤碧眼金发的人,Blond Scandinavians.,这个例句帮助理解“blond”在进阶阅读和写作中的用法。,cet6,,
cylinder,'silindә,n.,"n. 圆筒, 圆筒状物, 汽缸, 柱面\n[计] 柱面","Students often meet the word ""cylinder"" in reading and daily communication.",这个例句帮助理解“cylinder”在进阶阅读和写作中的用法。,cet6,,
articulate,ɑ:'tikjulit,v.,"a. 发音清晰的, 口才好的\nvt. 明白地说, 以关节连接, 使成为系统的整体",Articulate speech.,这个例句帮助理解“articulate”在进阶阅读和写作中的用法。,cet6,,
soften,'sɒftn,v.,"v. (使)变柔软, (使)变柔和",Soften a shock.,这个例句帮助理解“soften”在进阶阅读和写作中的用法。,cet6,,
managerial,.mænә'dʒiәriәl,adj.,"a. 管理的\n[经] 管理上的, 经营上的","Students often meet the word ""managerial"" in reading and daily communication.",这个例句帮助理解“managerial”在进阶阅读和写作中的用法。,cet6,,
economically,i:kә'nɔmikәli,adv.,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上",Economically this proposal makes no sense.,这个例句帮助理解“economically”在进阶阅读和写作中的用法。,cet6,,
molecular,mә'lekjulә,adj.,"a. 分子的, 由分子组成的\n[医] 分子的",Molecular structure.,这个例句帮助理解“molecular”在进阶阅读和写作中的用法。,cet6,,
reactor,ri'æktә,n.,"n. 反应者, 反应器, 反应堆, 电抗器\n[化] 反应釜; 反应锅","Students often meet the word ""reactor"" in reading and daily communication.",这个例句帮助理解“reactor”在进阶阅读和写作中的用法。,cet6,,
convincing,kәn'vinsiŋ,v.,"a. 使人信服的, 有力的, 令人心悦诚服的",A convincing story.,这个例句帮助理解“convincing”在进阶阅读和写作中的用法。,cet6,,
stereotype,'stiәriәtaip,v.,"n. 铅版, 陈规, 老套\nvt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变","Students often meet the word ""stereotype"" in reading and daily communication.",这个例句帮助理解“stereotype”在进阶阅读和写作中的用法。,cet6,,
scrutiny,'skru:tini,n.,"n. 细看, 仔细检查, 监视, 选票检查\n[经] 复查, 评核, 仔细检查","Students often meet the word ""scrutiny"" in reading and daily communication.",这个例句帮助理解“scrutiny”在进阶阅读和写作中的用法。,cet6,,
decisive,di'saisiv,adj.,"a. 决定性的, 坚定的, 果断的",Cast the decisive vote.,这个例句帮助理解“decisive”在进阶阅读和写作中的用法。,cet6,,
confirmation,.kɒnfә'meiʃәn,n.,"n. 证实, 证明, 批准, 确认\n[计] 确认",Fossils provided further confirmation of the evolutionary theory.,这个例句帮助理解“confirmation”在进阶阅读和写作中的用法。,cet6,,
complication,.kɒmpli'keiʃәn,n.,"n. 复杂化, 复杂情况\n[医] 并发症, 并发病",Her coming was a serious complication.,这个例句帮助理解“complication”在进阶阅读和写作中的用法。,cet6,,
follower,'fɒlәuә,n.,"n. 从者, 属下, 追补者\n[电] 随动机","Students often meet the word ""follower"" in reading and daily communication.",这个例句帮助理解“follower”在进阶阅读和写作中的用法。,cet6,,
sheriff,'ʃerif,n.,"n. 郡治安官, 县治安官\n[法] 司法行政官, 郡长, 执行吏","Students often meet the word ""sheriff"" in reading and daily communication.",这个例句帮助理解“sheriff”在进阶阅读和写作中的用法。,cet6,,
pal,pæl,v.,"n. 朋友, 伙伴, 同志, 同谋\nvi. 交友, 结伴","Students often meet the word ""pal"" in reading and daily communication.",这个例句帮助理解“pal”在进阶阅读和写作中的用法。,cet6,,
appraisal,ә'preizәl,n.,"n. 评价, 估价\n[经] 评价, 评估","Students often meet the word ""appraisal"" in reading and daily communication.",这个例句帮助理解“appraisal”在进阶阅读和写作中的用法。,cet6,,
orthodox,'ɒ:θәdɒks,adj.,"a. 正统的, 传统的, 惯常的",Orthodox Judaism.,这个例句帮助理解“orthodox”在进阶阅读和写作中的用法。,cet6,,
disagreement,.disә'gri:mәnt,n.,"n. 不合, 争论, 不一致\n[法] 不一致, 不同意, 陪审团的意见不一","Students often meet the word ""disagreement"" in reading and daily communication.",这个例句帮助理解“disagreement”在进阶阅读和写作中的用法。,cet6,,
baron,'bærәn,n.,"n. 男爵\n[法] 男爵, 贵族, 大王",An oil baron.,这个例句帮助理解“baron”在进阶阅读和写作中的用法。,cet6,,
inland,'inlәnd,n.,"a. 内陆的, 国内的\nn. 内地",The town is five miles inland.,这个例句帮助理解“inland”在进阶阅读和写作中的用法。,cet6,,
exile,'eksail,v.,"n. 放逐, 流放, 被放逐者\nvt. 放逐, 流放, 使背井离乡",Men in exile dream of hope.,这个例句帮助理解“exile”在进阶阅读和写作中的用法。,cet6,,
precedent,'presidәnt,n.,"n. 先例, 前例\na. 在先的, 在前的","Students often meet the word ""precedent"" in reading and daily communication.",这个例句帮助理解“precedent”在进阶阅读和写作中的用法。,cet6,,
fake,feik,v.,"n. 假货, 欺骗, 诡计\na. 假的\nvt. 假造, 仿造\nvi. 伪装",It isn't fake anything; it's real synthetic fur.,这个例句帮助理解“fake”在进阶阅读和写作中的用法。,cet6,,
crab,kræb,v.,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果\nvi. 捕蟹, 偏航, 发牢骚\nvt. 使偏航, 抱怨, 破坏",He caught a crab and lost the race.,这个例句帮助理解“crab”在进阶阅读和写作中的用法。,cet6,,
valve,vælv,v.,"n. 活瓣, 阀, 活门\nv. 装阀, 用阀调节","Students often meet the word ""valve"" in reading and daily communication.",这个例句帮助理解“valve”在进阶阅读和写作中的用法。,cet6,,
fury,'fjuri,n.,"n. 愤怒, 狂暴, 狂怒的人\n[医] 狂乱, 狂暴, 狂怒",Hell hath no fury like a woman scorned.,这个例句帮助理解“fury”在进阶阅读和写作中的用法。,cet6,,
compatible,kәm'pætәbl,adj.,"a. 能共处的, 可并立的, 适合的\n[计] 相容的; 兼容的",A compatible married couple.,这个例句帮助理解“compatible”在进阶阅读和写作中的用法。,cet6,,
predominantly,,adv.,"adv. 主要地, 显著地, 大多数地, 突出地",The patients are predominantly indigenous.,这个例句帮助理解“predominantly”在进阶阅读和写作中的用法。,cet6,,
destiny,'destini,n.,"n. 命运, 定数",We are helpless in the face of destiny.,这个例句帮助理解“destiny”在进阶阅读和写作中的用法。,cet6,,
corps,kɒ:,n.,"n. 军, 队, 部队, 兵种\n[医] 对, 团; 体, 物体",Diplomatic corps.,这个例句帮助理解“corps”在进阶阅读和写作中的用法。,cet6,,
causal,'kɒ:zәl,n.,"a. 原因的, 因果关系的, 表示原因或理由的\nn. 表示原因的连词",A causal relationship between scarcity and higher prices.,这个例句帮助理解“causal”在进阶阅读和写作中的用法。,cet6,,
polymer,'pɒlimә,n.,"n. 聚合物, 聚合体\n[化] 多聚体; 高分子; 大分子; 聚合物","Students often meet the word ""polymer"" in reading and daily communication.",这个例句帮助理解“polymer”在进阶阅读和写作中的用法。,cet6,,
incidentally,.insi'dentәli,adv.,"adv. 伴随地, 偶然, 顺便","Incidentally, I won't go to the party.",这个例句帮助理解“incidentally”在进阶阅读和写作中的用法。,cet6,,
confidential,.kɒnfi'denʃәl,adj.,"a. 机密的, 获他人信赖的, 易于信任他人的\n[经] 秘密件",A confidential secretary.,这个例句帮助理解“confidential”在进阶阅读和写作中的用法。,cet6,,
courtesy,'kә:tisi,n.,"n. 礼貌, 谦恭, 好意\n[法] 优待, 礼貌, 恩惠","Students often meet the word ""courtesy"" in reading and daily communication.",这个例句帮助理解“courtesy”在进阶阅读和写作中的用法。,cet6,,
repay,ri'pei,v.,"v. 偿还, 报答, 报复","Students often meet the word ""repay"" in reading and daily communication.",这个例句帮助理解“repay”在进阶阅读和写作中的用法。,cet6,,
salvation,sæl'veiʃә,n.,"n. 拯救, 救助, 救世",Tourism was their economic salvation.,这个例句帮助理解“salvation”在进阶阅读和写作中的用法。,cet6,,
inflict,in'flikt,v.,"vt. 施以, 加害, 使承受\n[法] 处, 加, 予以","Students often meet the word ""inflict"" in reading and daily communication.",这个例句帮助理解“inflict”在进阶阅读和写作中的用法。,cet6,,
rap,ræp,v.,"n. 轻敲, 拍击, 责骂, 无价值的东西\nvt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷\nvi. 敲击, 发敲击声, 交谈, 同情\n[计] 随机存取程序, 资源分配处理器, 常驻汇编程序",It was a bum rap.,这个例句帮助理解“rap”在进阶阅读和写作中的用法。,cet6,,
warrant,'wɒ:rәnt,v.,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状\nvt. 授权给, 保证, 担保, 批准, 使有正当理由",The emergency does not warrant all of us buying guns.,这个例句帮助理解“warrant”在进阶阅读和写作中的用法。,cet6,,
resentment,ri'zentmәnt,n.,"n. 怨恨, 愤恨","Students often meet the word ""resentment"" in reading and daily communication.",这个例句帮助理解“resentment”在进阶阅读和写作中的用法。,cet6,,
pier,piә,n.,"n. 码头, 桥墩, 支框, 防波堤\n[医] 桥基, 基牙","Students often meet the word ""pier"" in reading and daily communication.",这个例句帮助理解“pier”在进阶阅读和写作中的用法。,cet6,,
grim,grim,adj.,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的",Grim determination.,这个例句帮助理解“grim”在进阶阅读和写作中的用法。,cet6,,
amusement,ә'mju:zmәnt,n.,"n. 兴味, 娱乐, 消遣\n[法] 娱乐, 娱乐活动","Students often meet the word ""amusement"" in reading and daily communication.",这个例句帮助理解“amusement”在进阶阅读和写作中的用法。,cet6,,
deficiency,di'fiʃәnsi,n.,"n. 缺乏, 不足\n[医] 缺乏, 不足",Water is the critical deficiency in desert regions.,这个例句帮助理解“deficiency”在进阶阅读和写作中的用法。,cet6,,
optimism,'ɒptimizm,n.,"n. 乐观主义, 乐观, 乐天\n[医] 乐观主义, 乐观","Students often meet the word ""optimism"" in reading and daily communication.",这个例句帮助理解“optimism”在进阶阅读和写作中的用法。,cet6,,
ambiguity,.æmbi'gju:iti,n.,"n. 不明确, 含糊\n[计] 二义性; 多义性","Students often meet the word ""ambiguity"" in reading and daily communication.",这个例句帮助理解“ambiguity”在进阶阅读和写作中的用法。,cet6,,
abundance,ә'bʌndәns,n.,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",An age of abundance.,这个例句帮助理解“abundance”在进阶阅读和写作中的用法。,cet6,,
fulfill,ful'fil,v.,"vt. 实践, 履行, 实行, 完成, 结束, 满足\n[法] 履行, 完成, 达到","Students often meet the word ""fulfill"" in reading and daily communication.",这个例句帮助理解“fulfill”在进阶阅读和写作中的用法。,cet6,,
subscription,sәb'skripʃәn,n.,"n. 捐献, 订金, 订阅, 签署, 同意\n[化] 订购",The deed was attested by the subscription of his signature.,这个例句帮助理解“subscription”在进阶阅读和写作中的用法。,cet6,,
rattle,'rætl,v.,"vt. 使嘎嘎响, 喋喋不休地说\nvi. 格格响, 喋喋不休\nn. 格格声, 拨浪鼓, 喋喋不休的话",The death rattle.,这个例句帮助理解“rattle”在进阶阅读和写作中的用法。,cet6,,
sniff,snif,v.,"n. 以鼻吸气, 嗅, 气息\nvi. 嗅, 蔑视, 嗤之以鼻\nvt. 闻, 用力吸, 发觉",Sniff the perfume.,这个例句帮助理解“sniff”在进阶阅读和写作中的用法。,cet6,,
gorgeous,'gɒ:dʒәs,adj.,"a. 华丽的, 灿烂的",A gorgeous Victorian gown.,这个例句帮助理解“gorgeous”在进阶阅读和写作中的用法。,cet6,,
formulation,.fɒ:mju'leiʃәn,n.,"n. 系统陈述, 公式化, 配制\n[化] 表述; 数学表述; 数式化; 数学表述",He suggested a better formulation.,这个例句帮助理解“formulation”在进阶阅读和写作中的用法。,cet6,,
decree,di'kri:,v.,"n. 法令, 判决, 天意\nvt. 颁布, 判决\nvi. 发布命令",The King only can decree.,这个例句帮助理解“decree”在进阶阅读和写作中的用法。,cet6,,
egyptian,i'dʒipʃәn,n.,"n. 埃及人\na. 埃及的, 埃及人的","Students often meet the word ""egyptian"" in reading and daily communication.",这个例句帮助理解“egyptian”在进阶阅读和写作中的用法。,cet6,,
visa,'vi:zә,v.,n. 签证\nvt. 签发,"Students often meet the word ""visa"" in reading and daily communication.",这个例句帮助理解“visa”在进阶阅读和写作中的用法。,cet6,,
coincidence,kәu'insidәns,n.,"n. 巧合, 同时发生\n[电] 符合计数器",He waited for the coincidence of the target and the cross hairs.,这个例句帮助理解“coincidence”在进阶阅读和写作中的用法。,cet6,,
nurture,'nә:tʃә,v.,"n. 养育, 营养物, 培育\nvt. 养育, 供给营养物, 教养",They debated whether nature or nurture was more important.,这个例句帮助理解“nurture”在进阶阅读和写作中的用法。,cet6,,
tread,tred,v.,"n. 踏, 步态, 梯级, 交尾, 鞋底\nvi. 踏, 行走, 交尾\nvt. 踩, 踏, 践踏, 跳(舞)",For fools rush in where angels fear to tread.,这个例句帮助理解“tread”在进阶阅读和写作中的用法。,cet6,,
promptly,'prɒmptli,adv.,"adv. 敏捷地, 迅速地",The rescue squad arrived promptly.,这个例句帮助理解“promptly”在进阶阅读和写作中的用法。,cet6,,
attachment,ә'tʃætʃmәnt,n.,"n. 连接, 附属物, 连接物, 爱慕\n[计] 附加, 附件",Attachment to a formal agenda.,这个例句帮助理解“attachment”在进阶阅读和写作中的用法。,cet6,,
batch,bætʃ,v.,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批\nv. 成批, 分批处理\n[计] 一批",A batch of letters.,这个例句帮助理解“batch”在进阶阅读和写作中的用法。,cet6,,
melody,'melәdi,n.,"n. 曲子, 美妙音乐, 曲调","Students often meet the word ""melody"" in reading and daily communication.",这个例句帮助理解“melody”在进阶阅读和写作中的用法。,cet6,,
maple,'meipl,n.,"n. 枫, 枫木, 淡棕色\n[机] 枫木","Students often meet the word ""maple"" in reading and daily communication.",这个例句帮助理解“maple”在进阶阅读和写作中的用法。,cet6,,
unreasonable,.ʌn'ri:znәbl,adj.,"a. 不合理的, 过度的, 不切实际的\n[法] 不讲道理的, 非理智的, 不合理的",Unreasonable demands.,这个例句帮助理解“unreasonable”在进阶阅读和写作中的用法。,cet6,,
evenly,'i:vәnli,adv.,"adv. 平衡地, 平坦地, 平等地",A class evenly divided between girls and boys.,这个例句帮助理解“evenly”在进阶阅读和写作中的用法。,cet6,,
admiration,.ædmә'reiʃәn,n.,"n. 赞赏, 钦佩, 引人赞赏的对象",A small token in admiration of your works.,这个例句帮助理解“admiration”在进阶阅读和写作中的用法。,cet6,,
mighty,'maiti,adv.,"n. 有势力的人\na. 有势力的, 强大的, 有力的\nadv. 很, 极",Struck a mighty blow.,这个例句帮助理解“mighty”在进阶阅读和写作中的用法。,cet6,,
principally,'prinsәpәli,adv.,"adv. 主要地, 大部分","Students often meet the word ""principally"" in reading and daily communication.",这个例句帮助理解“principally”在进阶阅读和写作中的用法。,cet6,,
outrage,'autreidʒ,v.,"n. 暴行, 侮辱, 愤怒\nvt. 凌辱, 虐待, 触犯","Students often meet the word ""outrage"" in reading and daily communication.",这个例句帮助理解“outrage”在进阶阅读和写作中的用法。,cet6,,
constrain,kәn'strein,v.,"vt. 强迫, 限制, 关押","Students often meet the word ""constrain"" in reading and daily communication.",这个例句帮助理解“constrain”在进阶阅读和写作中的用法。,cet6,,
nun,nʌn,n.,"n. 修女, 尼姑","Students often meet the word ""nun"" in reading and daily communication.",这个例句帮助理解“nun”在进阶阅读和写作中的用法。,cet6,,
jerk,dʒә:k,v.,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干\nvi. 痉挛, 急拉, 急推\nvt. 猛拉",Jerk his head.,这个例句帮助理解“jerk”在进阶阅读和写作中的用法。,cet6,,
mob,mɒb,v.,"n. 暴民, 民众, 暴徒\nvt. 大举包围, 蜂拥进入, 围攻\nvi. 聚众生事","Students often meet the word ""mob"" in reading and daily communication.",这个例句帮助理解“mob”在进阶阅读和写作中的用法。,cet6,,
monarch,'mɒnәk,n.,"n. 帝王, 统治者, 元首\n[医] 单原型(植)","Students often meet the word ""monarch"" in reading and daily communication.",这个例句帮助理解“monarch”在进阶阅读和写作中的用法。,cet6,,
bulletin,'bulitin,n.,"n. 公告, 布告, 公报\n[电] 电子布告栏","Students often meet the word ""bulletin"" in reading and daily communication.",这个例句帮助理解“bulletin”在进阶阅读和写作中的用法。,cet6,,
treasurer,'treʒәrә,n.,"n. 会计, 出纳员, 司库\n[经] 司库, 财务主任, 财政大臣","Students often meet the word ""treasurer"" in reading and daily communication.",这个例句帮助理解“treasurer”在进阶阅读和写作中的用法。,cet6,,
chord,kɒ:d,n.,"n. 弦, 和音\n[医] 索, 带","Students often meet the word ""chord"" in reading and daily communication.",这个例句帮助理解“chord”在进阶阅读和写作中的用法。,cet6,,
mosque,mɒsk,n.,n. 清真寺,"Students often meet the word ""mosque"" in reading and daily communication.",这个例句帮助理解“mosque”在进阶阅读和写作中的用法。,cet6,,
feminine,'feminin,n.,"a. 女性的, 阴性的, 柔弱的\n[医] 女性的, 雌性的",Feminine intuition.,这个例句帮助理解“feminine”在进阶阅读和写作中的用法。,cet6,,
supplementary,.sʌpli'mentәri,adj.,"a. 补足的, 补充的, 追加的\n[经] 追加的, 补充的, 增补的",Produced supplementary volumes.,这个例句帮助理解“supplementary”在进阶阅读和写作中的用法。,cet6,,
microwave,'maikrәuweiv,n.,n. 微波\n[计] 微波,You can microwave the leftovers.,这个例句帮助理解“microwave”在进阶阅读和写作中的用法。,cet6,,
corrupt,kә'rʌpt,v.,"a. 腐败的, 贪污的, 讹误充斥的\nvt. 使腐烂, 腐蚀, 使恶化\nvi. 腐烂, 堕落",Corrupt the morals.,这个例句帮助理解“corrupt”在进阶阅读和写作中的用法。,cet6,,
bourgeois,buә'ʒwɑ:,n.,"n. 中产阶级分子, 商人, 资产阶级\na. 中产阶级的, 平庸的\nn. 九点活字",A bourgeois mentality.,这个例句帮助理解“bourgeois”在进阶阅读和写作中的用法。,cet6,,
vocational,vәu'keiʃәnl,adj.,"a. 职业的\n[法] 职业上的, 天职的",Vocational school.,这个例句帮助理解“vocational”在进阶阅读和写作中的用法。,cet6,,
stroll,strәul,v.,"n. 闲逛, 漫步\nv. 闲逛, 漫步","Students often meet the word ""stroll"" in reading and daily communication.",这个例句帮助理解“stroll”在进阶阅读和写作中的用法。,cet6,,
intriguing,in'tri:giŋ,v.,"a. 吸引人的, 有趣的",An intriguing smile.,这个例句帮助理解“intriguing”在进阶阅读和写作中的用法。,cet6,,
vector,'vektә,v.,"n. 矢量, 传病媒介\nvt. (用无线电)导引, 给...导航\n[计] 矢量; 向量","Students often meet the word ""vector"" in reading and daily communication.",这个例句帮助理解“vector”在进阶阅读和写作中的用法。,cet6,,
arc,ɑ:k,n.,"n. 弧, 弧形, 弓形, 弧光\n[化] 弧","Students often meet the word ""arc"" in reading and daily communication.",这个例句帮助理解“arc”在进阶阅读和写作中的用法。,cet6,,
vicious,'viʃәs,adj.,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的\n[医] 缺点的, 恶的",Vicious kicks.,这个例句帮助理解“vicious”在进阶阅读和写作中的用法。,cet6,,
finely,'fainli,adv.,"adv. 雅致地, 仔细地, 敏锐地, 微细地",The surfaces were finely granular.,这个例句帮助理解“finely”在进阶阅读和写作中的用法。,cet6,,
coefficient,kәui'fiʃәnt,n.,n. 系数\n[计] 系数,"Students often meet the word ""coefficient"" in reading and daily communication.",这个例句帮助理解“coefficient”在进阶阅读和写作中的用法。,cet6,,
ponder,'pɒndә,v.,"v. 沉思, 考虑","Students often meet the word ""ponder"" in reading and daily communication.",这个例句帮助理解“ponder”在进阶阅读和写作中的用法。,cet6,,
denounce,di'nauns,v.,"vt. 告发, 抨击, 谴责\n[法] 谴责, 斥责, 告发","Students often meet the word ""denounce"" in reading and daily communication.",这个例句帮助理解“denounce”在进阶阅读和写作中的用法。,cet6,,
ascertain,.æsә'tein,v.,"vt. 确定, 查明\n[法] 查明, 弄清, 确定","Students often meet the word ""ascertain"" in reading and daily communication.",这个例句帮助理解“ascertain”在进阶阅读和写作中的用法。,cet6,,
tuna,'tju:nә,n.,"n. 金枪鱼, 金枪鱼肉","Students often meet the word ""tuna"" in reading and daily communication.",这个例句帮助理解“tuna”在进阶阅读和写作中的用法。,cet6,,
cereal,'siәriәl,n.,"n. 谷类食品, 谷类植物\na. 谷类的",A cereal beverage.,这个例句帮助理解“cereal”在进阶阅读和写作中的用法。,cet6,,
royalty,'rɒiәlti,n.,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严\n[经] 特许权, 使用费, 使用税",The wedding was attended by royalty.,这个例句帮助理解“royalty”在进阶阅读和写作中的用法。,cet6,,
dentist,'dentist,n.,n. 牙科医生\n[医] 牙医师,"Students often meet the word ""dentist"" in reading and daily communication.",这个例句帮助理解“dentist”在进阶阅读和写作中的用法。,cet6,,
detain,di'tein,v.,"vt. 扣留, 扣押, 耽搁\n[法] 拘留, 扣押, 留住","Students often meet the word ""detain"" in reading and daily communication.",这个例句帮助理解“detain”在进阶阅读和写作中的用法。,cet6,,
soy,sɒi,n.,"n. 酱油, 大豆\n[医] 大豆; 酱油","Students often meet the word ""soy"" in reading and daily communication.",这个例句帮助理解“soy”在进阶阅读和写作中的用法。,cet6,,
reunion,ri:'ju:njәn,n.,"n. 团圆, 重聚\n[医] 再连合, 复连[合]","Students often meet the word ""reunion"" in reading and daily communication.",这个例句帮助理解“reunion”在进阶阅读和写作中的用法。,cet6,,
trolley,'trɒli,v.,"n. 电车, 手推车, 台车\nvt. 用手推车运\nvi. 乘电车","Students often meet the word ""trolley"" in reading and daily communication.",这个例句帮助理解“trolley”在进阶阅读和写作中的用法。,cet6,,
nominal,'nɒminl,n.,"a. 名义上的, 名字的, 有名无实的, 稍许的\nn. 名词性词",The Russian system of nominal brevity.,这个例句帮助理解“nominal”在进阶阅读和写作中的用法。,cet6,,
perch,pә:tʃ,v.,"n. 栖木, 高位, 杆, 河鲈\nv. (使)栖息, 就位, 位于, (使)暂歇","Students often meet the word ""perch"" in reading and daily communication.",这个例句帮助理解“perch”在进阶阅读和写作中的用法。,cet6,,
tract,trækt,n.,"n. 大片土地, 地带, 小册子\n[医] 束, 道","Students often meet the word ""tract"" in reading and daily communication.",这个例句帮助理解“tract”在进阶阅读和写作中的用法。,cet6,,
disposition,.dispә'ziʃәn,n.,"n. 性情, 处置, 处理, 布置\n[医] 素因, 性情",He has a happy disposition.,这个例句帮助理解“disposition”在进阶阅读和写作中的用法。,cet6,,
beneficiary,.beni'fiʃәri,n.,"n. 受惠者, 受益人\na. 受封的",A beneficiary baron.,这个例句帮助理解“beneficiary”在进阶阅读和写作中的用法。,cet6,,
nickname,'nikneim,v.,"n. 绰号, 昵称\nvt. 给...取绰号, 叫错名字\n[计] 绰号",Joe's mother would not use his nickname and always called him Joseph.,这个例句帮助理解“nickname”在进阶阅读和写作中的用法。,cet6,,
addict,ә'dikt,v.,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",A golf addict.,这个例句帮助理解“addict”在进阶阅读和写作中的用法。,cet6,,
bacon,'beikәn,n.,n. 熏猪肉\n[机] 腌肉,"Students often meet the word ""bacon"" in reading and daily communication.",这个例句帮助理解“bacon”在进阶阅读和写作中的用法。,cet6,,
naive,nɑ:'i:v,adj.,"a. 天真的, 纯真的, 幼稚的",A teenager's naive ignorance of life.,这个例句帮助理解“naive”在进阶阅读和写作中的用法。,cet6,,
decorative,'dekәreitiv,adj.,a. 装饰性的,The buildings were utilitarian rather than decorative.,这个例句帮助理解“decorative”在进阶阅读和写作中的用法。,cet6,,
prose,prәuz,v.,"n. 散文\nv. 写散文\na. 散文的, 平凡的","Students often meet the word ""prose"" in reading and daily communication.",这个例句帮助理解“prose”在进阶阅读和写作中的用法。,cet6,,
ham,hæm,v.,"n. 火腿, 后腿, 笨拙演员\na. 过火的, 做作的\nv. 演得过火","Students often meet the word ""ham"" in reading and daily communication.",这个例句帮助理解“ham”在进阶阅读和写作中的用法。,cet6,,
denote,di'nәut,v.,"vt. 指示, 表示","Students often meet the word ""denote"" in reading and daily communication.",这个例句帮助理解“denote”在进阶阅读和写作中的用法。,cet6,,
pumpkin,'pʌmpkin,n.,n. 南瓜,"Students often meet the word ""pumpkin"" in reading and daily communication.",这个例句帮助理解“pumpkin”在进阶阅读和写作中的用法。,cet6,,
stereo,'stiәriәu,n.,"n. 铅版, 立体照片\na. 立体的, 立体感觉的","Students often meet the word ""stereo"" in reading and daily communication.",这个例句帮助理解“stereo”在进阶阅读和写作中的用法。,cet6,,
distortion,dis'tɒ:ʃәn,n.,"n. 扭曲, 变形, 曲解\n[计] 畸变; 失真",Heavy metal guitar players use vacuum tube amplifiers to produce extreme distortion.,这个例句帮助理解“distortion”在进阶阅读和写作中的用法。,cet6,,
roam,rәum,v.,"v. 漫游, 闲逛, 徜徉\nn. 漫步, 漫游",The cattle roam across the prairie.,这个例句帮助理解“roam”在进阶阅读和写作中的用法。,cet6,,
foam,fәum,v.,"n. 泡沫, 水沫, 泡沫材料\nvi. 起泡沫, 吐白沫\nvt. 使起泡沫",The beer had a thick head of foam.,这个例句帮助理解“foam”在进阶阅读和写作中的用法。,cet6,,
bald,bɒ:ld,v.,"a. 秃头的, 光秃的, 单调的, 赤裸的\nvi. 变秃",A bald pate.,这个例句帮助理解“bald”在进阶阅读和写作中的用法。,cet6,,
fixture,'fikstʃә,n.,"n. 固定(状态), 固定物, 设备\n[计] 夹具",A bum who is a Central Park fixture.,这个例句帮助理解“fixture”在进阶阅读和写作中的用法。,cet6,,
consultancy,,n.,"n. 商量, 协商, 磋商, 会诊, 与...商量, 咨询, 请教, 找(医生)看病, 查阅, 考虑\n[经] 咨询业务, 咨询服务",A business management consultancy.,这个例句帮助理解“consultancy”在进阶阅读和写作中的用法。,cet6,,
tug,tʌg,v.,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索\nv. 用力拉","Students often meet the word ""tug"" in reading and daily communication.",这个例句帮助理解“tug”在进阶阅读和写作中的用法。,cet6,,
hose,hәuz,v.,"n. 水管, 橡皮软管, 长统袜\nvt. 用水管浇",Hose the lawn.,这个例句帮助理解“hose”在进阶阅读和写作中的用法。,cet6,,
fluctuation,.flʌktʃu'eiʃәn,n.,"n. 变动, 波动, 动摇\n[化] 涨落; 起伏; 波动; 脉动","Students often meet the word ""fluctuation"" in reading and daily communication.",这个例句帮助理解“fluctuation”在进阶阅读和写作中的用法。,cet6,,
intercourse,'intәkɒ:s,n.,"n. 交往, 交流\n[医] 交际, 往来","Students often meet the word ""intercourse"" in reading and daily communication.",这个例句帮助理解“intercourse”在进阶阅读和写作中的用法。,cet6,,
quantitative,'kwɒntitәtiv,adj.,"a. 数量的, 定量的\n[医] 定量的, 数量的",Export wheat without quantitative limitations.,这个例句帮助理解“quantitative”在进阶阅读和写作中的用法。,cet6,,
oyster,'ɒistә,n.,"n. 牡蛎, 蚝, 沉默者","Students often meet the word ""oyster"" in reading and daily communication.",这个例句帮助理解“oyster”在进阶阅读和写作中的用法。,cet6,,
